time (seconds),steps,light
0.605,0,0
5.606,8,115
10.607,18,115
15.607,28,115
20.608,38,115
25.608,48,113
30.609,58,115
35.609,68,115
40.609,78,114
45.61,88,115
50.61,98,115
55.612,108,114
60.612,118,115
65.612,129,115
70.612,138,115
75.613,148,115
80.612,157,115
85.613,167,115
90.614,175,115
95.615,185,115
100.616,195,115
105.617,205,116
110.618,215,117
115.62,225,117
120.621,235,117
125.622,247,116
130.622,257,117
135.623,267,117
140.623,278,117
145.623,288,117
150.623,298,118
155.624,308,117
160.624,318,117
165.624,328,117
170.624,339,117
175.625,345,117
180.626,355,119
185.626,365,120
190.626,375,120
195.626,385,120
200.627,395,120
205.627,405,121
210.627,416,120
215.627,426,120
220.628,436,120
225.629,446,120
230.629,456,119
235.629,466,120
240.63,476,120
245.63,486,120
250.632,496,120
255.632,506,120
260.633,516,120
265.634,526,120
270.634,534,120
275.635,544,120
280.636,554,121
285.638,564,120
290.638,574,120
295.638,584,120
300.639,594,120
305.64,604,119
310.64,614,120
315.64,621,120
320.641,631,120
325.641,642,120
330.642,648,120
335.642,654,120
