Time (seconds),steps,light
3.01,1,135
3.80,2,110
4.62,3,147
5.45,4,140
48.46,5,110
49.21,6,151
50.64,7,132
51.50,8,141
52.35,9,114
53.23,10,121
54.00,11,154
54.82,12,184
55.77,13,188
56.64,14,188
57.82,15,133
59.05,16,113
59.90,17,122
61.00,18,125
61.83,19,36
62.63,20,41
63.46,21,145
64.30,22,50
65.17,23,0
66.30,24,7
67.08,25,0
67.79,26,0
68.51,27,117
69.30,28,143
70.10,29,61
71.15,30,0
71.89,31,0
74.81,32,0
76.34,33,0
77.41,34,0
78.19,35,0
82.84,36,0
84.03,37,0
84.78,38,0
85.58,39,0
89.47,40,0
90.17,41,0
91.04,42,22
95.46,43,82
96.39,44,178
97.42,45,178
98.80,46,179
99.73,47,184
100.57,48,183
101.36,49,181
102.43,50,0
103.35,51,0
104.12,52,0
105.36,53,11
106.15,54,0
107.14,55,0
111.60,56,27
112.37,57,14
113.68,58,0
114.62,59,0
115.39,60,36
116.41,61,0
117.16,62,145
117.88,63,109
118.85,64,104
123.02,65,12
123.82,66,146
124.69,67,129
125.79,68,0
131.93,69,0
132.66,70,0
133.46,71,0
134.31,72,0
135.09,73,54
139.36,74,0
140.83,75,97
142.00,76,0
142.72,77,0
143.71,78,0
144.96,79,0
150.85,80,129
152.20,81,177
152.97,82,110
153.73,83,93
154.64,84,134
155.58,85,174
156.33,86,126
157.07,87,181
157.76,88,202
158.74,89,192
159.51,90,124
160.79,91,107
161.60,92,110
162.42,93,104
163.25,94,114
164.03,95,139
165.52,96,7
166.35,97,0
169.55,98,0
171.06,99,0
172.04,100,0
173.39,101,0
174.20,102,0
175.06,103,0
175.91,104,26
176.69,105,62
177.42,106,0
178.22,107,0
180.38,108,60
181.30,109,0
182.65,110,0
183.50,111,0
184.42,112,0
186.27,113,0
187.08,114,0
188.04,115,0
188.85,116,0
189.85,117,0
190.70,118,0
191.46,119,0
192.19,120,0
193.07,121,0
194.14,122,0
195.29,123,34
196.05,124,0
196.82,125,41
197.56,126,0
198.25,127,17
199.19,128,122
200.08,129,111
200.98,130,150
202.01,131,140
202.95,132,137
203.88,133,148
204.74,134,171
205.89,135,146
206.80,136,22
207.72,137,0
208.83,138,154
209.57,139,197
210.26,140,163
214.87,141,0
215.69,142,0
216.50,143,0
217.28,144,0
218.12,145,0
219.13,146,0
219.92,147,0
220.78,148,0
221.57,149,0
222.91,150,0
226.94,151,134
227.70,152,133
228.39,153,14
229.23,154,123
230.14,155,89
231.79,156,118
232.71,157,85
233.48,158,149
238.31,159,108
241.79,160,13
